title,date,category,notes
JEE Main Session 1 Registration Opens,2026-10-15,exam,NTA official schedule
JEE Main Session 1 Registration Closes,2026-11-30,exam,NTA portal deadline
JEE Main Session 1 Exam Window Starts,2027-01-20,exam,Tentative exam window
JEE Main Session 2 Registration Opens,2027-01-31,exam,NTA official schedule
JEE Main Session 2 Registration Closes,2027-03-05,exam,NTA portal deadline
NEET UG Registration Opens,2026-12-01,exam,NTA announcement expected
NEET UG Registration Closes,2027-01-15,exam,NTA portal deadline
NEET UG Exam Date,2027-05-03,exam,Tentative exam day
CUET UG Registration Opens,2027-02-01,exam,NTA official portal
CUET UG Registration Closes,2027-03-10,exam,NTA application deadline
CUET UG Exam Window Starts,2027-05-15,exam,Tentative date range
CLAT Application Opens,2026-07-15,exam,Consortium of NLUs
CLAT Application Closes,2026-10-22,exam,Final date for form submission
BITSAT Session 1 Registration Closes,2027-04-10,exam,BITS admission portal
VITEEE Application Last Date,2027-03-31,exam,VIT official portal
IIT Bombay Admission Form Correction Window,2027-01-05,admission,For submitted forms only
Delhi University UG Application Last Date,2027-07-20,admission,DU CSAS portal
Mumbai University UG Application Last Date,2027-06-30,admission,University portal timeline
National Scholarship Portal Fresh Registration Closes,2026-11-30,scholarship,NSP deadline
INSPIRE Scholarship Application Last Date,2027-10-31,scholarship,Department of Science and Technology
